Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi
700000000,3,2,1,60,55,Limo
385000000,3,2,1,50,60,Pancoran Mas
499000000,2,1,1,72,36,Sawangan
500000000,2,1,1,65,48,Sawangan
985000000,4,3,2,72,125,Cinere
700000000,3,2,1,70,70,Sawangan
1000000000,3,3,1,60,85,Pancoran Mas
700000000,3,2,1,60,55,Pancoran Mas
990000000,3,2,1,65,75,Limo
1750000000,5,4,1,82,160,Pancoran Mas
1570000000,5,3,0,90,120,Beji
700000000,3,2,2,66,78,Sawangan
2500000000,3,3,1,230,160,Cinere
3400000000,4,3,3,240,280,Cinere
1880000000,3,2,0,126,160,Beji
1660000000,4,3,0,88,113,Beji
1470000000,3,3,0,125,105,Cinere
780000000,2,1,0,85,50,Sawangan
940000000,3,2,0,72,67,Sawangan
2440000000,3,2,0,100,150,Cinere
1500000000,4,4,0,76,130,Cinere
610000000,2,1,0,78,50,Sukmajaya
940000000,2,1,0,94,65,Sukmajaya
820000000,2,1,0,96,50,Sukmajaya
1220000000,3,2,0,72,100,Limo
780000000,2,2,0,84,60,Cimanggis
950000000,3,2,0,84,114,Sawangan
3600000000,5,5,2,300,300,Cinere
2530000000,4,3,0,144,185,Cinere
1440000000,3,2,0,90,90,Cimanggis
970000000,2,2,0,86,70,Sukmajaya
670000000,2,1,0,70,36,Cimanggis
1440000000,3,2,0,94,58,Citayam
830000000,3,2,0,90,70,Citayam
970000000,2,2,0,86,70,Cilodong
940000000,2,1,0,94,65,Cilodong
720000000,2,1,0,72,72,Beji
730000000,3,2,1,70,70,Sawangan
3500000000,3,2,1,285,175,Cinere
720000000,2,1,0,72,65,Cilodong
1000000000,3,3,2,64,100,Limo
7000000000,4,4,4,725,400,Cinere
875000000,3,2,1,63,75,Pancoran Mas
990000000,4,3,2,72,125,Pancoran Mas
6000000000,4,4,2,325,500,Cinere
1300000000,4,3,2,98,125,Pancoran Mas
700000000,3,2,1,70,70,Pancoran Mas
499000000,2,1,1,72,36,Citayam
1000000000,3,3,1,70,90,Grand Depok City
540000000,2,2,0,72,65,Citayam
1970000000,2,2,3,202,93,Cinere
1400000000,3,3,2,112,120,Sawangan
499000000,2,1,1,60,45,Sawangan
720000000,3,2,1,51,70,Cilodong
1300000000,3,3,2,111,90,Sukmajaya
1250000000,3,3,1,73,85,Margonda
891000000,3,2,2,61,55,Cinere
780000000,2,2,0,100,72,Sukmajaya
280000000,2,1,1,50,36,Sawangan
1250000000,2,2,1,112,95,Cinere
695000000,3,2,1,51,70,Sukmajaya
900000000,4,3,0,138,150,Sukmajaya
695000000,2,1,1,89,43,Tapos
695000000,3,2,2,55,60,Sawangan
890000000,3,2,2,61,55,Limo
276000000,2,1,1,50,36,Sawangan
2000000000,4,4,1,120,160,Cinere
275000000,2,1,1,50,36,Sawangan
1050000000,3,2,0,72,115,Cilodong
940000000,2,1,0,72,47,Sawangan
340000000,2,1,0,60,42,Citayam
1420000000,4,3,0,150,200,Citayam
1620000000,5,4,0,98,150,Beji
610000000,2,1,0,78,50,Cilodong
740000000,2,1,0,84,56,Cimanggis
2710000000,3,2,0,230,242,Beji
1770000000,3,2,0,100,83,Beji
780000000,3,2,0,77,71,Citayam
4000000000,4,4,1,260,400,Cinere
380000000,2,1,1,60,36,Cinangka
345000000,2,1,1,55,36,Cinangka
3250000000,3,2,1,300,160,Cinere
1050000000,3,2,1,60,75,Pancoran Mas
1390000000,3,2,0,52,90,Beji
1390000000,3,2,0,93,93,Beji
500000000,2,1,0,82,82,Citayam
1400000000,3,3,1,70,80,Beji
1040000000,3,2,0,72,80,Citayam
1440000000,4,3,0,108,150,Cimanggis
1660000000,4,4,0,208,200,Sawangan
500000000,2,1,0,120,80,Citayam
780000000,2,1,0,72,36,Sawangan
1770000000,3,2,0,177,160,Citayam
780000000,2,2,0,84,60,Sukmajaya
1300000000,2,2,2,144,70,Sawangan
3250000000,4,4,2,289,335,Cinere
3600000000,4,5,2,200,200,Cinere
2300000000,2,1,2,225,100,Harjamukti
560000000,2,1,0,72,72,Cipayung
2600000000,4,3,1,240,227,Sawangan
2900000000,5,4,2,240,300,Sawangan
5500000000,4,3,2,500,650,Cinere
